transaction_event_log_id,customer_dob_entry,duration,event_type,global_unique_identifier,verifone_transaction_sn
90354530,,231,FINANCIAL,1726116894000-660011418-0001427456,116166
10161893,,7,FINANCIAL,1726116894000-660011418-0001427464,116167
90654531,,173,FINANCIAL,1726116894000-660011418-0001427467,116168
10161894,060104,25,FINANCIAL,1726116894000-660011418-0001427489,116169
10161895,,21,FINANCIAL,1726116894000-660011418-0001427493,116170
90654532,,88,FINANCIAL,1726116894000-660011418-0001427495,116171
90454533,,194,FINANCIAL,1726116894000-660011418-0001427497,116172
10161896,,19,FINANCIAL,1726116894000-660011418-0001427498,116173
90554534,,159,FINANCIAL,1726116894000-660011418-0001427508,116174
90354535,,168,FINANCIAL,1726116894000-660011418-0001427518,116175
90154536,,184,FINANCIAL,1726116894000-660011418-0001427522,116176
90654537,,125,FINANCIAL,1726116894000-660011418-0001427524,116177
10161897,,21,FINANCIAL,1726116894000-660011418-0001427531,116178
90254538,,168,FINANCIAL,1726116894000-660011418-0001427534,116179
90754539,,152,FINANCIAL,1726116894000-660011418-0001427535,116180
90654540,,42,FINANCIAL,1726116894000-660011418-0001427552,116181
90554541,,49,FINANCIAL,1726116894000-660011418-0001427563,116182
10161898,060107,49,FINANCIAL,1726116894000-660011418-0001427564,116183
90754542,,245,FINANCIAL,1726116894000-660011418-0001427573,116184
90454543,,157,FINANCIAL,1726116894000-660011418-0001427577,116185
10161899,060104,35,FINANCIAL,1726116894000-660011418-0001427578,116186
10161900,060107,5,FINANCIAL,1726116894000-660011418-0001427588,116187
90654544,,150,FINANCIAL,1726116894000-660011418-0001427590,116188
10161901,,24,FINANCIAL,1726116894000-660011418-0001427591,116189
10161902,060104,39,FINANCIAL,1726116894000-660011418-0001427601,116190
10161903,,14,FINANCIAL,1726116894000-660011418-0001427603,116191
90554545,,100,FINANCIAL,1726116894000-660011418-0001427606,116192
